id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
776810,Loft in Dallas · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,4096626,Eric,,District 2,32.81462,-96.81586,Entire home/apt,75,5,29,2020-03-26,0.22,1,344,0,
795703,Condo in Dallas · ★4.84 · 1 bedroom · 1 bed · 1 bath,4191322,Michelle,,District 14,32.80327,-96.80976,Entire home/apt,243,30,70,2022-09-25,0.55,1,270,1,
826118,Home in Dallas · ★4.83 · 1 bedroom · 1 bed · 1 private bath,804559,Rod,,District 12,32.98825,-96.78926,Private room,62,2,24,2023-06-12,0.25,4,285,4,
826178,Home in Dallas · ★5.0 · 1 bedroom · 2 beds · 1 private bath,804559,Rod,,District 12,32.98621,-96.78857,Private room,40,2,23,2020-01-31,0.19,4,284,0,
826201,Home in Dallas · ★4.77 · 1 bedroom · 1 bed · 1 private bath,804559,Rod,,District 12,32.98853,-96.78903,Private room,54,30,31,2023-03-07,0.25,4,152,5,
860248,Home in Dallas · ★4.82 · 1 bedroom · 1 bed · 1 private bath,4505460,Judy,,District 9,32.85509,-96.70625,Private room,43,7,68,2023-05-20,0.81,3,104,13,
1056850,Rental unit in Dallas · ★4.99 · 1 bedroom · 1 bed · 1 bath,5821283,Kathy,,District 14,32.82181,-96.80816,Entire home/apt,95,2,135,2023-04-11,1.31,3,227,7,
1154424,Rental unit in Dallas · ★4.61 · Studio · 1 bed · 1 bath,6063232,Joan,,District 14,32.818684,-96.790154,Entire home/apt,92,3,92,2022-07-05,0.75,10,306,0,
1158488,Guest suite in Dallas · ★4.97 · 1 bedroom · 2 beds · 1 bath,5037857,Marie,,District 14,32.81723,-96.76775,Entire home/apt,92,3,200,2023-04-17,1.63,1,329,10,
1223427,Rental unit in Dallas · ★4.63 · Studio · 1 bed · 1 bath,6063232,Joan,,District 14,32.818684,-96.790154,Entire home/apt,92,3,92,2023-05-15,0.75,10,313,2,
1277933,Home in Dallas · ★4.63 · 2 bedrooms · 2 beds · 1 shared bath,6904484,C. F. Sandy,,District 11,32.92449,-96.79062,Private room,65,1,32,2019-11-09,0.42,1,136,0,
1479800,Home in Dallas · ★4.93 · 1 bedroom · 1 bed · 1 private bath,3809024,Holly,,District 14,32.83103,-96.7638,Private room,90,2,102,2023-05-15,0.85,3,44,1,
1488809,Home in Dallas · ★4.91 · 1 bedroom · 1 bed · 1 bath,7961670,Jill,,District 1,32.74566,-96.83436,Private room,61,1,735,2023-07-02,6.16,1,111,31,
1507428,Rental unit in Dallas · ★4.63 · Studio · 1 bed · 1 bath,6063232,Joan,,District 14,32.81961,-96.78996,Entire home/apt,78,3,68,2023-06-19,0.57,10,337,4,
1610263,Rental unit in Dallas · ★New · 1 bedroom · 1 bed · 1 bath,8532397,Sasan,,District 12,33.002593187421546,-96.77834108804409,Entire home/apt,72,30,0,,,1,41,0,
1627338,Home in Dallas · 1 bedroom · 1 bed · 1 shared bath,3932821,Greg,,District 9,32.81088,-96.70323,Shared room,39,60,0,,,2,0,0,
1774599,Rental unit in Dallas · ★4.42 · 1 bedroom · 1 bed · 1 bath,3932821,Greg,,District 14,32.81029,-96.73111,Entire home/apt,40,24,48,2019-03-09,0.41,2,0,0,
1826550,Townhouse in Dallas · ★4.94 · 1 bedroom · 1 bed · 1 private bath,9557710,Jeff,,District 14,32.78112,-96.79165,Private room,90,1,590,2023-06-16,5.02,3,33,55,
1832427,Townhouse in Dallas · ★4.99 · 3 bedrooms · 3 beds · 3.5 baths,9557710,Jeff,,District 2,32.77805,-96.79362,Entire home/apt,372,2,158,2023-06-27,1.38,3,36,18,
1856710,Home in Dallas · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,3809024,Holly,,District 14,32.83531,-96.77386,Private room,85,2,39,2023-02-27,0.33,3,322,3,
1864741,Guesthouse in Dallas · ★4.84 · 1 bedroom · 1 bed · 1 bath,9723429,Carrie,,District 1,32.73153,-96.8289,Entire home/apt,92,1,189,2023-04-19,1.80,1,0,33,
